feature_id,text_id,duplicate_group,source,split,direction,fraction,sign,dose,interaction_norm,beyond_gain_norm
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.005,-1,-0.1,0.0004640932624317494,0.00037749982324747664
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.005,-1,0.1,0.0005243119452259336,0.0004352312598756506
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.005,1,-0.1,0.00041565330552300955,0.0003419436246114047
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.005,1,0.1,0.0004692118826739628,0.0003910901908978997
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.01,-1,-0.1,0.0010034758164448327,0.0008121422724499993
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.01,-1,0.1,0.0011161249450748693,0.0009193572682294472
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.01,1,-0.1,0.0007959285657292735,0.0006594323658889061
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.01,1,0.1,0.000917820492478173,0.0007620577914384913
28027,173,173,fineweb-edu-sample,fit,learned,0.005,-1,-0.1,0.0008033567002593423,0.0008016532984309653
28027,173,173,fineweb-edu-sample,fit,learned,0.005,-1,0.1,0.0008107577941403747,0.0008089254209140524
28027,173,173,fineweb-edu-sample,fit,learned,0.005,1,-0.1,0.0008250678776726635,0.0008250662317910936
28027,173,173,fineweb-edu-sample,fit,learned,0.005,1,0.1,0.000819347361664658,0.000819237236505198
28027,173,173,fineweb-edu-sample,fit,learned,0.01,-1,-0.1,0.0016001828783868003,0.0015927806394079075
28027,173,173,fineweb-edu-sample,fit,learned,0.01,-1,0.1,0.0016085746568139077,0.0015983621306339406
28027,173,173,fineweb-edu-sample,fit,learned,0.01,1,-0.1,0.0016502049249227315,0.0016498003142113263
28027,173,173,fineweb-edu-sample,fit,learned,0.01,1,0.1,0.001653978196647349,0.0016538400910542897
28027,173,173,fineweb-edu-sample,fit,random_0,0.005,-1,-0.1,0.0003510570887530127,0.00020710742345794196
28027,173,173,fineweb-edu-sample,fit,random_0,0.005,-1,0.1,0.0003568934210571765,0.0002155020533075206
28027,173,173,fineweb-edu-sample,fit,random_0,0.005,1,-0.1,0.0003816461155305146,0.0002092984701651858
28027,173,173,fineweb-edu-sample,fit,random_0,0.005,1,0.1,0.00038027098180519703,0.00020760855369371837
28027,173,173,fineweb-edu-sample,fit,random_0,0.01,-1,-0.1,0.0006822520005906447,0.000416789604087661
28027,173,173,fineweb-edu-sample,fit,random_0,0.01,-1,0.1,0.0006782984691638162,0.00042576002714778333
28027,173,173,fineweb-edu-sample,fit,random_0,0.01,1,-0.1,0.0008030273278717371,0.00042350393766938944
28027,173,173,fineweb-edu-sample,fit,random_0,0.01,1,0.1,0.0008067346318140687,0.00043142406446675384
28027,173,173,fineweb-edu-sample,fit,random_1,0.005,-1,-0.1,0.0005611652175604253,0.0005423732427485387
28027,173,173,fineweb-edu-sample,fit,random_1,0.005,-1,0.1,0.0005670449967865828,0.0005497592875088112
28027,173,173,fineweb-edu-sample,fit,random_1,0.005,1,-0.1,0.0006522916210230821,0.0006159140512405112
28027,173,173,fineweb-edu-sample,fit,random_1,0.005,1,0.1,0.0006447221036423033,0.0006099883301395288
28027,173,173,fineweb-edu-sample,fit,random_1,0.01,-1,-0.1,0.0010451996409866673,0.0010189527313292674
28027,173,173,fineweb-edu-sample,fit,random_1,0.01,-1,0.1,0.001027409257644224,0.0010050872390284964
28027,173,173,fineweb-edu-sample,fit,random_1,0.01,1,-0.1,0.0014110261728736842,0.0013125281088745423
28027,173,173,fineweb-edu-sample,fit,random_1,0.01,1,0.1,0.0013698270110951585,0.0012802057029097764
28027,173,173,fineweb-edu-sample,fit,random_2,0.005,-1,-0.1,0.0001874885869153738,0.0001530899832656932
28027,173,173,fineweb-edu-sample,fit,random_2,0.005,-1,0.1,0.00019358414111660008,0.00015514663377779456
28027,173,173,fineweb-edu-sample,fit,random_2,0.005,1,-0.1,0.00021446012932164565,0.00017533679654220172
28027,173,173,fineweb-edu-sample,fit,random_2,0.005,1,0.1,0.00020748060927305048,0.00016886560652405985
28027,173,173,fineweb-edu-sample,fit,random_2,0.01,-1,-0.1,0.0003459370603558675,0.0002764570944462917
28027,173,173,fineweb-edu-sample,fit,random_2,0.01,-1,0.1,0.0003644374406784763,0.00028734166452174025
28027,173,173,fineweb-edu-sample,fit,random_2,0.01,1,-0.1,0.00044335189685154955,0.0003624993697370334
28027,173,173,fineweb-edu-sample,fit,random_2,0.01,1,0.1,0.00043943719909539446,0.00034935668916149875
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.005,-1,-0.1,0.0003760274460384604,0.0002714113018376811
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.005,-1,0.1,0.0003826563974394471,0.0002676631257863274
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.005,1,-0.1,0.000329095029713033,0.00026077832513690837
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.005,1,0.1,0.0003300653582714246,0.00026257905880056385
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.01,-1,-0.1,0.0008320960068072085,0.0005414676260974802
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.01,-1,0.1,0.0008260603397126584,0.0005440692556528188
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.01,1,-0.1,0.0006199154481080688,0.0005209648967917951
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.01,1,0.1,0.0006173522129043886,0.0005121550808500133
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.005,-1,-0.1,0.0016153695376924003,0.0016093050706082652
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.005,-1,0.1,0.001585200650208818,0.0015800496909680664
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.005,1,-0.1,0.0016223289577540394,0.0016080891880737764
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.005,1,0.1,0.001585609674815081,0.0015726539829926218
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.01,-1,-0.1,0.003215729023063913,0.003211428160506152
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.01,-1,0.1,0.003139523986062268,0.003135995554193545
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.01,1,-0.1,0.0032282936678849745,0.003192372139561277
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.01,1,0.1,0.0031664012720634604,0.0031326878804538855
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.005,-1,-0.1,0.0008460345008676499,0.0008447020152659745
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.005,-1,0.1,0.0008308064777139118,0.000829445748158151
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.005,1,-0.1,0.0007577271031240225,0.0007574687386661784
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.005,1,0.1,0.0007577060977015831,0.0007572534502571915
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.01,-1,-0.1,0.0017768419694546601,0.0017725948574331292
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.01,-1,0.1,0.0017483951467283736,0.0017445567552644506
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.01,1,-0.1,0.0014396695403338323,0.001439436447959461
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.01,1,0.1,0.0014375291985693102,0.0014373977396813574
28027,258,258,fineweb-edu-sample,check,learned,0.005,-1,-0.1,0.0013139960837779722,0.0013138961584389615
28027,258,258,fineweb-edu-sample,check,learned,0.005,-1,0.1,0.0012794258056346053,0.0012772517313742438
28027,258,258,fineweb-edu-sample,check,learned,0.005,1,-0.1,0.0013016178410729339,0.0012492774099392653
28027,258,258,fineweb-edu-sample,check,learned,0.005,1,0.1,0.001246752279656001,0.0011720065351490364
28027,258,258,fineweb-edu-sample,check,learned,0.01,-1,-0.1,0.002742680329718905,0.0027204199374667062
28027,258,258,fineweb-edu-sample,check,learned,0.01,-1,0.1,0.002640475376444551,0.002627175158451177
28027,258,258,fineweb-edu-sample,check,learned,0.01,1,-0.1,0.002605469659937602,0.0023787408873825787
28027,258,258,fineweb-edu-sample,check,learned,0.01,1,0.1,0.0025203225741423753,0.002220711321534479
28027,258,258,fineweb-edu-sample,check,random_0,0.005,-1,-0.1,0.0008327720703057739,0.0008321630627009215
28027,258,258,fineweb-edu-sample,check,random_0,0.005,-1,0.1,0.0008808855084819452,0.0008806738068848327
28027,258,258,fineweb-edu-sample,check,random_0,0.005,1,-0.1,0.0009790131399562449,0.0009629388151529945
28027,258,258,fineweb-edu-sample,check,random_0,0.005,1,0.1,0.001015257194592209,0.0009967277453313565
28027,258,258,fineweb-edu-sample,check,random_0,0.01,-1,-0.1,0.001525169446044759,0.0015092359198756546
28027,258,258,fineweb-edu-sample,check,random_0,0.01,-1,0.1,0.001604275320894312,0.0015946592777384022
